id,symbol,name,chain,ecosystem,address,usd_price,mcap,fdv,volume_24h,total_liquidity,price_change_percentage_1h,price_change_percentage_24h,price_change_percentage_7d,price_change_percentage_30d,volume_change_percentage_7d,volume_change_percentage_30d,mcap_change_percentage_7d,mcap_change_percentage_30d,price_high_24h,price_ath,circulating_supply,total_supply,support,resistance,rsi,sma,total_holder_count,holder_count_change_percentage_24h,fifty_percentage_holding_wallet_count,first_100_buyers_initial_bought,first_100_buyers_initial_bought_percentage,first_100_buyers_current_holding,first_100_buyers_current_holding_percentage,top_10_holder_balance,top_10_holder_percentage,top_50_holder_balance,top_50_holder_percentage,top_100_holder_balance,top_100_holder_percentage,top_25_holder_buy_24h,top_25_holder_sold_24h,wallet_address,wallet_balance,dev_wallet_total_holding_percentage,dev_wallet_outflow_txs_count_24h,dev_wallet_outflow_amount_24h,fresh_wallet,dev_sold,dev_sold_percentage,bundle_wallet_count,bundle_wallet_supply_percentage,mindshare_3d,mindshare_change_percentage_3d,impression_count_3d,impression_count_change_percentage_3d,engagement_count_3d,engagement_count_change_percentage_3d,follower_count_3d,smart_follower_count_3d,mindshare_7d,mindshare_change_percentage_7d,impression_count_7d,impression_count_change_percentage_7d,engagement_count_7d,engagement_count_change_percentage_7d,follower_count_7d,smart_follower_count_7d,last_updated_at
0x095f603148e4771b28c32549edd0c5bf71b6cba0-prototype,DRAGON,Dragon Trading Bot,base,virtuals,,0.0000,9773.20,,0.00,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,23,,21.00,528725366.22,52.87,2727647.05,0.27,2727647.05,0.27,2727647.05,0.27,2727647.05,0.27,0.00,0.00,0x89b2fc269cd0bd633954793e95c0647536e29676,,,,,False,True,100.00,1,,,,,,,,,,,,,,,,,,2025-06-18T17:08:28.514Z
0x4f4f6a31023d12234f2b0903e74fd300e55e8a17-prototype,NOIR,Noir,base,virtuals,,0.0000,9756.00,,0.00,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,16,,15.00,359517246.56,35.95,1848225.07,0.18,1848225.07,0.18,1848225.07,0.18,1848225.07,0.18,0.00,0.00,0x9b0dce90e92e06ea430c863bc5ab2d6b0a2825e4,,,,,True,True,100.00,1,,,,,,,,,,,,,,,,,,2025-06-18T17:08:20.511Z
saitoshi-by-virtuals,SAI,Saitoshi by Virtuals,base,virtuals,,0.0001,90559.00,,2607.80,58947.40,,1.20,-49.60,-59.10,990.50,231.80,-49.60,-59.10,,,,1000000000.00,,,30.00,,1100,,16.00,678466231.37,67.85,200430479.17,20.04,371899267.40,37.19,466832970.14,46.68,489466668.73,48.95,419650.40,0.00,0xa799b0c79c2f207b802a1da23c43e56d2d86ed76,200430479.10,20.00,,,True,False,61.92,8,25.15,,,,,,,1469,29,0.0051957012845845665,,1424,-18.81,50,0,1469,29,2025-06-18T17:06:59.657Z
fdream,FDREAM,FDREAM,base,base,,0.0000,39718.00,39718.00,1.81,9686.30,-0.27,-0.62,5.07,-24.11,-99.40,-89.70,3.60,-26.20,0.0000,0.0254,1100000000.00,,0.0000284516,0.0000420707,41.12,0.0000343165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-06-18T17:01:08.534Z
0xe63ffba071bdf3d8bbac18a3de2e2cac8ead1e91-prototype,MRLOVE,Mr.Love,base,virtuals,,0.0000,15127.90,,0.00,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,597,,589.00,363559143.42,36.36,70196010.83,7.02,136565615.54,13.66,189461966.46,18.95,196891027.24,19.69,0.00,0.00,0x4a38c18f58e574c28c57e3344f140a32141775d4,70132999.60,7.00,,,False,False,0.00,1,7.01,,,,,,,,,,,,,,,,,2025-06-18T17:09:37.789Z
0x301a4ddc7c7cf063d46469ad75b21a922b9be389-prototype,LOVE,Love Guru,base,virtuals,,0.0000,13963.90,,0.00,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,53,,52.00,599406645.55,59.94,2804963.71,0.28,2804963.71,0.28,2804963.71,0.28,2804963.71,0.28,0.00,0.00,0xe5e771eabbe21158a922c914256ceb41203379d2,,,,,False,False,50.00,1,,,,,,,,,,,,,,,,,,2025-06-18T17:02:02.971Z
0x3bc8dc6f500ba1b3743b7f7b285eb914c2874f7d-prototype,$PIKA,Pikachu,base,virtuals,,0.0000,13937.10,,0.00,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,5,,,162494539.02,16.25,1844568.26,0.18,1844568.26,0.18,1844568.26,0.18,1844568.26,0.18,0.00,0.00,0x6f186dfc226414e3178e47535a0f8a9283a4ffe6,1844568.30,0.20,,,False,False,26.48,1,0.18,,,,,,,,,,,,,,,,,2025-06-18T17:03:03.084Z
0x88d4a1f572904fbb8a28a5420026ff998f9504db-prototype,MIKU,miku,base,virtuals,,0.0000,13886.20,,0.00,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,8,,6.00,200414309.77,20.04,19087.23,0.00,19087.23,0.00,19087.23,0.00,19087.23,0.00,0.00,0.00,0xb909e1e8f5da2a412018160034ec0e4bc254c236,11549.90,,,,False,False,0.00,1,0.00,,,,,,,,,,,,,,,,,2025-06-18T17:05:04.971Z
0xce89f1c7123b823d9fad4e9da215f86de936370b-prototype,TRACK,Wallet Tracker AI,base,virtuals,,0.0000,13885.90,,0.00,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,13,,11.00,366592424.13,36.66,6646.70,0.00,6646.70,0.00,6646.70,0.00,6646.70,0.00,0.00,0.00,0xd6560cf41ead53b2ba5f0229325cf40654c3bcae,,,,,True,True,100.00,1,,,,,,,,,,,,,,,,,,2025-06-18T17:09:22.459Z
0x7e568e5a4b17000e1949502d71d2b72b3e79a5bd-prototype,RIF,Rifampicin,base,virtuals,,0.0000,13885.70,,0.00,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,33,,32.00,733413651.03,73.34,0.08,0.00,0.08,0.00,0.08,0.00,0.08,0.00,0.00,0.00,0xd3660ee5743108ddbbc6eb9dd07a0c325f6921fe,,,,,False,True,100.00,1,,,,,,,,,,,,,,,,,,2025-06-18T17:05:04.946Z
0x9392dce7c984fde7dd08eac50c707aa1858d551e-prototype,AI16Z,ai16z,base,virtuals,,0.0000,13885.70,,0.00,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,11,,10.00,216632702.91,21.66,,,,,,,,,0.00,0.00,0x391e7c51a8f57fbad8320cc9b3c95d2ac41617c2,,,,,False,True,100.00,1,,,,,,,,,,,,,,,,,,2025-06-18T17:05:05.009Z
0x2c90254f8f91008813a5ef2594979a110525f3d9-prototype,SMILE,ƧMIԼΣ,base,virtuals,,0.0000,13885.70,,0.00,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,2,,1.00,60424478.14,6.04,,,,,,,,,0.00,0.00,0x0c0dfadc834c69a5c04b5bdcb71f9d94f5217143,,,,,False,False,0.00,,,,,,,,,,,,,,,,,,,2025-06-18T17:10:08.040Z
0x776d83e64e4072796d437b614beeef9b5461aa59-prototype,ANGEL,Angel.AI,base,virtuals,,0.0000,9806.80,,0.00,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,21,,20.00,421932923.45,42.19,4432754.35,0.44,4432754.35,0.44,4432754.35,0.44,4432754.35,0.44,0.00,0.00,0xe615fd4e8fe9b9aa5e90ebd3a530bc1e3807aad4,,,,,False,True,100.00,1,,,,,,,,,,,,,,,,,,2025-06-18T17:06:05.093Z
0x9718ca8effbae4b26e4485a68c705aa498740ee0-prototype,AGI,AGI,base,virtuals,,0.0000,9761.40,,0.00,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,23,,22.00,848017187.46,84.80,2123188.82,0.21,2123188.82,0.21,2123188.82,0.21,2123188.82,0.21,0.00,0.00,0x95149f8e13b57d66dcc7f8f3e3b8cc63bb0c3ae7,,,,,True,True,100.00,1,,,,,,,,,,,,,,,,,,2025-06-18T17:08:22.492Z
woofwork-io,WOOF,WoofWork.io,base,base,,0.0001,585152.00,585152.00,6188.05,,0.03,-28.96,-15.07,57.53,-94.00,-85.60,-13.60,54.40,0.0001,0.0042,7900000000.00,,0.0001212958,0.0001361568,45.57,0.0001273329,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-06-18T17:00:52.151Z
based-beast-coin,BEAST,Based Beast Coin,base,base,,0.0104,103793.00,103793.00,84.50,45413.60,-0.29,0.77,-17.37,-2.90,-23.40,-90.70,-15.80,-3.00,0.0105,0.0752,10000000.00,,0.0107471583,0.0125784225,26.81,0.0114455202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-06-18T17:01:00.088Z
